DATE,CPIEBEV_PC1
01-12-1983,2.7
01-01-1984,4.37811
01-02-1984,5.05451
01-03-1984,4.4335
01-04-1984,3.92157
01-05-1984,3.32681
01-06-1984,3.62035
01-07-1984,3.91007
01-08-1984,4.49658
01-09-1984,4.10156
01-10-1984,4.09756
01-11-1984,4.20744
01-12-1984,3.99221
01-01-1985,2.57388
01-02-1985,2.35849
01-03-1985,2.45283
01-04-1985,2.35849
01-05-1985,2.55682
01-06-1985,2.36072
01-07-1985,2.06961
01-08-1985,1.49673
01-09-1985,1.78236
01-10-1985,1.78069
01-11-1985,2.25352
01-12-1985,2.71536
01-01-1986,2.88104
01-02-1986,2.02765
01-03-1986,2.02578
01-04-1986,2.39631
01-05-1986,2.86242
01-06-1986,2.76753
01-07-1986,3.68664
01-08-1986,4.51613
01-09-1986,4.60829
01-10-1986,4.69613
01-11-1986,4.59137
01-12-1986,4.01094
01-01-1987,4.33604
01-02-1987,4.78771
01-03-1987,4.60289
01-04-1987,4.59046
01-05-1987,4.93716
01-06-1987,5.47576
01-07-1987,4.17778
01-08-1987,3.35097
01-09-1987,3.61233
01-10-1987,3.51803
01-11-1987,3.16067
01-12-1987,3.59334
01-01-1988,3.20346
01-02-1988,2.75862
01-03-1988,3.01984
01-04-1988,3.35628
01-05-1988,3.1651
01-06-1988,3.06383
01-07-1988,4.43686
01-08-1988,4.94881
01-09-1988,5.35714
01-10-1988,5.35259
01-11-1988,5.3617
01-12-1988,5.07614
01-01-1989,5.53691
01-02-1989,6.20805
01-03-1989,6.61642
01-04-1989,6.66112
01-05-1989,6.88226
01-06-1989,6.52353
01-07-1989,5.88235
01-08-1989,5.52846
01-09-1989,5.00404
01-10-1989,5.48387
01-11-1989,5.89661
01-12-1989,5.95813
01-01-1990,7.47218
01-02-1990,7.58294
01-03-1990,6.99136
01-04-1990,5.93286
01-05-1990,5.35299
01-06-1990,5.81395
01-07-1990,6.01852
01-08-1990,5.9322
01-09-1990,5.84166
01-10-1990,5.58104
01-11-1990,5.64455
01-12-1990,5.39514
01-01-1991,4.36391
01-02-1991,3.59765
01-03-1991,3.89134
01-04-1991,5.01105
01-05-1991,5.00736
01-06-1991,4.90842
01-07-1991,3.49345
01-08-1991,2.90909
01-09-1991,2.75962
01-10-1991,2.09993
01-11-1991,2.16606
01-12-1991,2.37924
01-01-1992,1.06308
01-02-1992,1.34656
01-03-1992,1.55477
01-04-1992,0.84211
01-05-1992,0.21038
01-06-1992,-0.76816
01-07-1992,-0.14065
01-08-1992,0.9894
01-09-1992,1.27208
01-10-1992,1.56028
01-11-1992,1.06007
01-12-1992,0.98592
01-01-1993,1.47265
01-02-1993,1.25874
01-03-1993,0.97425
01-04-1993,1.3222
01-05-1993,2.30931
01-06-1993,2.18156
01-07-1993,2.25352
01-08-1993,2.02939
01-09-1993,1.88416
01-10-1993,2.44413
01-11-1993,2.72727
01-12-1993,2.99861
01-01-1994,2.83345
01-02-1994,2.20994
01-03-1994,2.20538
01-04-1994,1.99176
01-05-1994,1.70999
01-06-1994,2.41047
01-07-1994,3.09917
01-08-1994,3.15501
01-09-1994,3.15068
01-10-1994,2.59032
01-11-1994,2.65487
01-12-1994,3.24983
01-01-1995,2.95699
01-02-1995,3.37838
01-03-1995,3.16925
01-04-1995,3.7037
01-05-1995,3.56422
01-06-1995,3.36247
01-07-1995,2.73881
01-08-1995,2.46011
01-09-1995,2.78884
01-10-1995,3.12292
01-11-1995,2.85146
01-12-1995,2.03279
01-01-1996,2.41514
01-02-1996,2.4183
01-03-1996,2.94118
01-04-1996,2.72727
01-05-1996,2.5974
01-06-1996,3.18803
01-07-1996,3.57607
01-08-1996,3.6989
01-09-1996,3.81137
01-10-1996,4.05928
01-11-1996,4.38427
01-12-1996,4.37018
01-01-1997,3.56915
01-02-1997,3.70134
01-03-1997,3.2381
01-04-1997,2.78129
01-05-1997,3.03797
01-06-1997,2.58512
01-07-1997,2.44821
01-08-1997,2.56571
01-09-1997,2.11574
01-10-1997,1.79567
01-11-1997,1.6677
01-12-1997,1.47783
01-01-1998,2.27692
01-02-1998,1.84615
01-03-1998,2.02952
01-04-1998,2.02952
01-05-1998,2.27273
01-06-1998,2.21266
01-07-1998,2.14461
01-08-1998,1.95241
01-09-1998,1.88909
01-10-1998,2.37226
01-11-1998,2.30863
01-12-1998,2.30583
01-01-1999,2.22623
01-02-1999,2.47734
01-03-1999,2.16998
01-04-1999,2.29054
01-05-1999,2.22222
01-06-1999,2.16476
01-07-1999,1.9796
