DATE,CPIEHOUSE_PC1
01-12-1983,3.4
01-01-1984,3.48259
01-02-1984,4.07555
01-03-1984,4.17495
01-04-1984,4.1543
01-05-1984,4.03543
01-06-1984,4.01961
01-07-1984,4.29688
01-08-1984,4.48343
01-09-1984,4.46169
01-10-1984,4.36047
01-11-1984,4.16263
01-12-1984,4.25532
01-01-1985,3.84615
01-02-1985,3.62942
01-03-1985,3.91221
01-04-1985,3.79867
01-05-1985,4.16272
01-06-1985,4.33553
01-07-1985,3.93258
01-08-1985,3.91791
01-09-1985,3.71402
01-10-1985,3.89972
01-11-1985,4.27509
01-12-1985,4.35993
01-01-1986,4.44444
01-02-1986,3.7788
01-03-1986,3.39761
01-04-1986,3.38518
01-05-1986,2.7248
01-06-1986,2.80036
01-07-1986,2.61261
01-08-1986,2.4237
01-09-1986,2.50671
01-10-1986,2.14477
01-11-1986,1.60428
01-12-1986,1.42222
01-01-1987,1.6844
01-02-1987,2.30906
01-03-1987,2.75311
01-04-1987,2.74336
01-05-1987,3.09461
01-06-1987,3.07557
01-07-1987,3.33626
01-08-1987,3.85627
01-09-1987,3.58079
01-10-1987,3.76203
01-11-1987,4.03509
01-12-1987,4.03155
01-01-1988,4.18483
01-02-1988,4.07986
01-03-1988,4.14866
01-04-1988,4.04823
01-05-1988,3.94511
01-06-1988,4.00682
01-07-1988,4.07816
01-08-1988,3.88186
01-09-1988,3.9629
01-10-1988,3.9629
01-11-1988,4.04722
01-12-1988,4.2123
01-01-1989,4.01674
01-02-1989,4.00334
01-03-1989,4.06639
01-04-1989,3.97351
01-05-1989,4.0429
01-06-1989,4.01639
01-07-1989,4.4898
01-08-1989,4.30544
01-09-1989,4.21736
01-10-1989,4.54177
01-11-1989,4.70016
01-12-1989,4.7696
01-01-1990,5.30973
01-02-1990,5.05213
01-03-1990,5.10367
01-04-1990,4.85669
01-05-1990,4.67883
01-06-1990,4.96454
01-07-1990,4.92188
01-08-1990,5.60748
01-09-1990,5.68093
01-10-1990,5.58573
01-11-1990,5.26316
01-12-1990,5.01543
01-01-1991,5.11841
01-02-1991,5.49618
01-03-1991,5.08346
01-04-1991,4.85953
01-05-1991,4.77273
01-06-1991,4.35435
01-07-1991,4.16977
01-08-1991,3.46608
01-09-1991,3.3137
01-10-1991,3.08597
01-11-1991,3.23529
01-12-1991,3.45334
01-01-1992,2.97965
01-02-1992,2.89436
01-03-1992,3.03249
01-04-1992,3.1861
01-05-1992,3.10918
01-06-1992,3.23741
01-07-1992,3.1451
01-08-1992,3.13614
01-09-1992,2.85103
01-10-1992,2.99359
01-11-1992,2.849
01-12-1992,2.62784
01-01-1993,2.61115
01-02-1993,2.60197
01-03-1993,2.66293
01-04-1993,2.94737
01-05-1993,2.9453
01-06-1993,2.99652
01-07-1993,2.7027
01-08-1993,2.69523
01-09-1993,2.9106
01-10-1993,2.69896
01-11-1993,2.63158
01-12-1993,2.83737
01-01-1994,2.75103
01-02-1994,3.0843
01-03-1994,2.93515
01-04-1994,2.59032
01-05-1994,2.65668
01-06-1994,2.50338
01-07-1994,2.5641
01-08-1994,2.69179
01-09-1994,2.55892
01-10-1994,2.62803
01-11-1994,2.63158
01-12-1994,2.22073
01-01-1995,2.54351
01-02-1995,2.32713
01-03-1995,2.38727
01-04-1995,2.72425
01-05-1995,2.65428
01-06-1995,2.70627
01-07-1995,2.89474
01-08-1995,2.75229
01-09-1995,2.82337
01-10-1995,2.88903
01-11-1995,2.89283
01-12-1995,3.15997
01-01-1996,3.13316
01-02-1996,3.18389
01-03-1996,3.23834
01-04-1996,3.10479
01-05-1996,3.16742
01-06-1996,2.9563
01-07-1996,3.13299
01-08-1996,3.125
01-09-1996,3.00128
01-10-1996,3.06318
01-11-1996,3.13099
01-12-1996,3.12699
01-01-1997,3.10127
01-02-1997,3.14861
01-03-1997,2.94856
01-04-1997,2.82309
01-05-1997,2.56892
01-06-1997,2.87141
01-07-1997,2.66584
01-08-1997,2.47372
01-09-1997,2.54185
01-10-1997,2.5387
01-11-1997,2.60223
01-12-1997,2.47525
01-01-1998,2.08717
01-02-1998,1.89255
01-03-1998,1.95003
01-04-1998,2.25747
01-05-1998,2.44349
01-06-1998,2.30583
01-07-1998,2.2343
01-08-1998,2.35365
01-09-1998,2.47884
01-10-1998,2.29469
01-11-1998,2.2343
01-12-1998,2.17391
01-01-1999,2.10463
01-02-1999,2.09706
01-03-1999,2.2116
01-04-1999,2.20764
01-05-1999,2.20632
01-06-1999,2.31317
01-07-1999,2.3036
01-08-1999,2.29953
01-09-1999,2.47788
01-10-1999,2.36128
01-11-1999,2.36267
01-12-1999,2.36407
01-01-2000,2.70907
01-02-2000,3.2277
01-03-2000,3.27485
01-04-2000,3.15236
01-05-2000,3.15053
01-06-2000,3.53623
01-07-2000,3.69515
01-08-2000,3.68876
01-09-2000,3.79965
01-10-2000,4.15225
01-11-2000,4.15465
01-12-2000,4.33025
01-01-2001,4.98853
01-02-2001,4.54804
01-03-2001,4.58664
01-04-2001,4.47085
01-05-2001,4.69457
01-06-2001,4.47928
01-07-2001,4.00891
01-08-2001,4.05781
01-09-2001,3.38325
01-10-2001,2.76855
01-11-2001,2.88089
01-12-2001,2.65634
01-01-2002,1.85691
01-02-2002,2.01196
01-03-2002,2.00325
01-04-2002,2.22102
01-05-2002,2.05294
01-06-2002,1.82208
01-07-2002,1.98073
01-08-2002,2.02991
01-09-2002,2.30687
01-10-2002,2.74784
01-11-2002,2.58481
01-12-2002,2.5876
01-01-2003,2.73458
01-02-2003,2.77186
01-03-2003,3.02548
01-04-2003,2.64971
01-05-2003,2.75278
01-06-2003,2.57895
01-07-2003,2.72966
01-08-2003,2.51309
01-09-2003,2.4646
01-10-2003,2.51704
01-11-2003,2.20472
01-12-2003,2.31214
01-01-2004,2.40084
01-02-2004,2.17842
01-03-2004,2.26687
01-04-2004,2.83944
01-05-2004,2.83359
01-06-2004,3.28374
01-07-2004,3.27031
01-08-2004,3.37079
01-09-2004,3.32651
01-10-2004,3.27366
01-11-2004,3.44119
01-12-2004,3.33847
01-01-2005,3.21101
01-02-2005,3.45178
01-03-2005,3.82872
01-04-2005,3.56426
01-05-2005,3.15631
01-06-2005,2.88127
01-07-2005,3.21623
01-08-2005,3.16206
01-09-2005,3.16989
01-10-2005,4.16048
01-11-2005,4.31976
01-12-2005,4.17495
01-01-2006,4.44444
01-02-2006,4.07262
01-03-2006,3.34789
01-04-2006,3.44159
01-05-2006,3.88538
01-06-2006,4.00773
01-07-2006,3.73921
01-08-2006,3.9272
01-09-2006,4.08065
01-10-2006,2.80552
01-11-2006,2.95098
01-12-2006,3.29198
01-01-2007,3.11726
01-02-2007,3.4248
01-03-2007,3.46714
01-04-2007,3.56092
01-05-2007,3.42917
01-06-2007,3.53482
01-07-2007,3.3586
01-08-2007,3.00553
01-09-2007,2.95203
01-10-2007,3.19334
01-11-2007,3.18724
01-12-2007,3.17229
01-01-2008,3.1349
01-02-2008,3.0242
01-03-2008,3.38771
01-04-2008,3.2792
01-05-2008,3.56318
01-06-2008,3.76165
01-07-2008,4.32024
01-08-2008,4.03853
01-09-2008,3.55197
01-10-2008,3.12679
