DATE,CPIECOMEDU_PC1
1994-01-01,2.12054
1994-02-01,2.67857
1994-03-01,2.56410
1994-04-01,2.79642
1994-05-01,2.56410
1994-06-01,2.67559
1994-07-01,2.67559
1994-08-01,2.65781
1994-09-01,2.30516
1994-10-01,2.19298
1994-11-01,2.08105
1994-12-01,1.85792
1995-01-01,3.71585
1995-02-01,2.82609
1995-03-01,2.71739
1995-04-01,2.93798
1995-05-01,2.71739
1995-06-01,2.82302
1995-07-01,2.93160
1995-08-01,2.91262
1995-09-01,3.11159
1995-10-01,3.11159
1995-11-01,3.11159
1995-12-01,3.32618
1996-01-01,1.58061
1996-02-01,1.90275
1996-03-01,2.43386
1996-04-01,1.37421
1996-05-01,2.32804
1996-06-01,2.42872
1996-07-01,2.42616
1996-08-01,2.51572
1996-09-01,2.28928
1996-10-01,2.49740
1996-11-01,2.49740
1996-12-01,2.38837
1997-01-01,2.48963
1997-02-01,2.48963
1997-03-01,2.16942
1997-04-01,3.12826
1997-05-01,2.27508
1997-06-01,2.16495
1997-07-01,2.16272
1997-08-01,1.53374
1997-09-01,1.62767
1997-10-01,1.52284
1997-11-01,1.52284
1997-12-01,1.41988
1998-01-01,1.11336
1998-02-01,0.91093
1998-03-01,1.01112
1998-04-01,1.11223
1998-05-01,1.31446
1998-06-01,1.21090
1998-07-01,1.10887
1998-08-01,0.40282
1998-09-01,0.30030
1998-10-01,0.20000
1998-11-01,0.40000
1998-12-01,-0.20000
1999-01-01,0.40040
1999-02-01,0.40120
1999-03-01,0.10010
1999-04-01,-0.30000
1999-05-01,-0.79840
1999-06-01,-0.89731
1999-07-01,-0.99701
1999-08-01,0.10030
1999-09-01,-0.19960
1999-10-01,-0.09980
1999-11-01,0.09960
1999-12-01,0.70140
2000-01-01,0.49850
2000-02-01,-0.29970
2000-03-01,-0.50000
2000-04-01,-0.50150
2000-05-01,-0.20121
2000-06-01,-1.00604
2000-07-01,-0.10070
2000-08-01,0.00000
2000-09-01,-1.10000
2000-10-01,-0.19980
2000-11-01,-1.19403
2000-12-01,-0.59701
2001-01-01,-0.39683
2001-02-01,0.60120
2001-03-01,1.30653
2001-04-01,1.41129
2001-05-01,1.10887
2001-06-01,2.23577
2001-07-01,2.01613
2001-08-01,2.00401
2001-09-01,3.03337
2001-10-01,2.50250
2001-11-01,2.92044
