,Symbol,Close,Transportation_CPI,Housing_CPI,Medical_care_CPI,Education_CPI,Food_Beverges_CPI,Oil_price,Date
0,MMM,235.63999938964844,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
1,AOS,61.52999877929688,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
2,ABT,58.790000915527344,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
3,ABBV,98.41000366210938,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
4,ABMD,192.4900054931641,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
5,ACN,153.83999633789062,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
6,ATVI,64.30999755859375,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
7,ADM,40.09000015258789,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
8,ADBE,177.6999969482422,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
9,ADP,115.98999786376952,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
10,AAP,106.08999633789062,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
11,AES,10.880000114440918,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
12,AFL,43.98500061035156,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
13,A,67.5999984741211,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
14,APD,165.50999450683594,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
15,AKAM,65.55999755859375,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
16,ALK,75.01000213623047,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
17,ALB,131.52999877929688,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
18,ARE,129.92999267578125,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
19,ALGN,224.6199951171875,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
20,ALLE,79.91000366210938,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
21,LNT,42.11000061035156,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
22,ALL,101.91999816894533,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
23,GOOGL,53.66049957275391,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
24,GOOG,53.25,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
25,MO,70.73999786376953,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
26,AMZN,59.45050048828125,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
27,AMCR,11.800000190734863,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
28,AMD,10.979999542236328,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
29,AEE,58.38999938964844,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
30,AAL,52.9900016784668,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
31,AEP,72.41000366210938,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
32,AXP,98.94000244140624,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
33,AIG,59.5,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
34,AMT,141.1300048828125,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
35,AWK,89.08000183105469,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
36,AMP,169.91000366210938,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
37,ABC,94.04000091552734,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
38,AME,72.75,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
39,AMGN,177.0,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
40,APH,43.900001525878906,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
41,ADI,90.27999877929688,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
42,ANSS,148.5500030517578,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
43,AON,131.49000549316406,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
44,APA,44.29999923706055,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
45,AAPL,43.06499862670898,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
46,AMAT,53.040000915527344,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
47,APTV,86.11000061035156,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
48,ANET,57.75749969482422,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
49,AJG,62.16999816894531,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
50,AIZ,99.2300033569336,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
51,T,29.108760833740234,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
52,ATO,85.04000091552734,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
53,ADSK,107.12000274658205,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
54,AZO,736.5399780273438,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
55,AVB,177.24000549316406,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
56,AVY,115.68000030517578,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
57,BKR,32.22999954223633,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
58,BALL,38.630001068115234,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
59,BAC,29.89999961853028,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
60,BBWI,48.41551971435547,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
61,BAX,67.16999816894531,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
62,BDX,212.52682495117188,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
63,WRB,31.128889083862305,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
64,BRK-B,197.22000122070312,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
65,BBY,69.16000366210938,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
66,BIO,241.4199981689453,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
67,TECH,131.4600067138672,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
68,BIIB,334.1700134277344,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
69,BLK,508.9700012207031,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
70,BK,53.81999969482422,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
71,BA,296.8399963378906,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
72,BKNG,1784.75,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
73,BWA,51.77999877929688,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
74,BXP,129.27999877929688,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
75,BSX,25.280000686645508,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
76,BMY,61.310001373291016,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
77,AVGO,267.010009765625,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
78,BR,90.8000030517578,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
79,BRO,25.540000915527344,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
80,BF-B,54.15999984741211,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
81,CHRW,89.73999786376953,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
82,CDNS,42.04999923706055,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
83,CZR,31.64999961853028,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
84,CPT,91.5,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
85,CPB,47.38999938964844,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
86,COF,99.61000061035156,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
87,CAH,63.22999954223633,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
88,KMX,64.76000213623047,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
89,CCL,66.75,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
90,CTLT,42.040000915527344,2.73503,2.77389,1.9385,-2.00299,1.59627,66.65,2018-01
