,Symbol,Close,Date1,Year,Month
1,MMM,83.01999664,2010-01,2010,1
20,MMM,80.44000244,2010-02,2010,2
39,MMM,80.58000183,2010-03,2010,3
62,MMM,83.84999847,2010-04,2010,4
83,MMM,89.80999756,2010-05,2010,5
103,MMM,78.06999969,2010-06,2010,6
125,MMM,78.55000305,2010-07,2010,7
146,MMM,87.41000366,2010-08,2010,8
168,MMM,81.01000214,2010-09,2010,9
189,MMM,87.62000275,2010-10,2010,10
210,MMM,83.98000336,2010-11,2010,11
231,MMM,86.05000305,2010-12,2010,12
253,MMM,86.79000092,2011-01,2011,1
273,MMM,87.79000092,2011-02,2011,2
292,MMM,90.45999908,2011-03,2011,3
315,MMM,93.12999725,2011-04,2011,4
335,MMM,96.91999817,2011-05,2011,5
356,MMM,91.44000244,2011-06,2011,6
378,MMM,96.66999817,2011-07,2011,7
398,MMM,86.76999664,2011-08,2011,8
421,MMM,81.61000061,2011-09,2011,9
442,MMM,70.93000031,2011-10,2011,10
463,MMM,76.52999878,2011-11,2011,11
484,MMM,80.30000305,2011-12,2011,12
505,MMM,83.48999786,2012-01,2012,1
525,MMM,87.34999847,2012-02,2012,2
545,MMM,87.48999786,2012-03,2012,3
567,MMM,89.23000336,2012-04,2012,4
587,MMM,89.59999847,2012-05,2012,5
609,MMM,82.84999847,2012-06,2012,6
630,MMM,89.27999878,2012-07,2012,7
651,MMM,91.19999695,2012-08,2012,8
674,MMM,91.68000031,2012-09,2012,9
693,MMM,93.29000092,2012-10,2012,10
715,MMM,89.25,2012-11,2012,11
736,MMM,90.30000305,2012-12,2012,12
756,MMM,94.77999878,2013-01,2013,1
777,MMM,101.5599976,2013-02,2013,2
796,MMM,103.7699966,2013-03,2013,3
816,MMM,105.6500015,2013-04,2013,4
838,MMM,104.5500031,2013-05,2013,5
860,MMM,110.6100006,2013-06,2013,6
880,MMM,109.3099976,2013-07,2013,7
902,MMM,118.4100037,2013-08,2013,8
924,MMM,113.2200012,2013-09,2013,9
944,MMM,119.6200027,2013-10,2013,10
967,MMM,125.9000015,2013-11,2013,11
987,MMM,127.6800003,2013-12,2013,12
1008,MMM,138.1300049,2014-01,2014,1
1029,MMM,123.9000015,2014-02,2014,2
1048,MMM,132.2100067,2014-03,2014,3
1069,MMM,136.5299988,2014-04,2014,4
1090,MMM,140.8099976,2014-05,2014,5
1111,MMM,142.3200073,2014-06,2014,6
1132,MMM,144.5599976,2014-07,2014,7
1154,MMM,140.1100006,2014-08,2014,8
1175,MMM,144.2200012,2014-09,2014,9
1196,MMM,139.1799927,2014-10,2014,10
1219,MMM,153.3000031,2014-11,2014,11
1238,MMM,158.1600037,2014-12,2014,12
1260,MMM,164.0599976,2015-01,2015,1
1280,MMM,164.4199982,2015-02,2015,2
1299,MMM,170.5,2015-03,2015,3
1321,MMM,162.5200043,2015-04,2015,4
1342,MMM,157.6799927,2015-05,2015,5
1362,MMM,158.9799957,2015-06,2015,6
1384,MMM,155.6499939,2015-07,2015,7
1406,MMM,150.1199951,2015-08,2015,8
1427,MMM,138.5,2015-09,2015,9
1448,MMM,140.8000031,2015-10,2015,10
1470,MMM,159.9199982,2015-11,2015,11
1490,MMM,156.8999939,2015-12,2015,12
1512,MMM,146.8200073,2016-01,2016,1
1532,MMM,148.7299957,2016-02,2016,2
1552,MMM,159.5899963,2016-03,2016,3
1574,MMM,167.5299988,2016-04,2016,4
1595,MMM,168.3399963,2016-05,2016,5
1616,MMM,168.6900024,2016-06,2016,6
1638,MMM,175.5399933,2016-07,2016,7
1658,MMM,178.2899933,2016-08,2016,8
1681,MMM,179.9799957,2016-09,2016,9
1702,MMM,175.0399933,2016-10,2016,10
1723,MMM,164.25,2016-11,2016,11
1744,MMM,172.6300049,2016-12,2016,12
1765,MMM,178.0500031,2017-01,2017,1
1785,MMM,175.1699982,2017-02,2017,2
1805,MMM,189.8600006,2017-03,2017,3
1828,MMM,190.7200012,2017-04,2017,4
1847,MMM,194.8099976,2017-05,2017,5
1869,MMM,204.3500061,2017-06,2017,6
1891,MMM,209.8300018,2017-07,2017,7
1911,MMM,203.1799927,2017-08,2017,8
1934,MMM,203.5599976,2017-09,2017,9
1954,MMM,212.7599945,2017-10,2017,10
1976,MMM,230.1799927,2017-11,2017,11
1997,MMM,241.1499939,2017-12,2017,12
2018,MMM,235.6399994,2018-01,2018,1
2039,MMM,247.9400024,2018-02,2018,2
2058,MMM,231.3399963,2018-03,2018,3
2079,MMM,212.6199951,2018-04,2018,4
2100,MMM,195.0200043,2018-05,2018,5
2122,MMM,199.5899963,2018-06,2018,6
2143,MMM,195.5200043,2018-07,2018,7
2164,MMM,207.0500031,2018-08,2018,8
2187,MMM,208.6000061,2018-09,2018,9
2206,MMM,212.1900024,2018-10,2018,10
2229,MMM,192.2200012,2018-11,2018,11
2250,MMM,208.7599945,2018-12,2018,12
2270,MMM,190.9499969,2019-01,2019,1
2291,MMM,199.1600037,2019-02,2019,2
2310,MMM,207.4900055,2019-03,2019,3
2331,MMM,211.9400024,2019-04,2019,4
2352,MMM,186.0700073,2019-05,2019,5
2374,MMM,160.0399933,2019-06,2019,6
2394,MMM,174.5099945,2019-07,2019,7
2416,MMM,173.3600006,2019-08,2019,8
2438,MMM,158.6399994,2019-09,2019,9
2458,MMM,158.3800049,2019-10,2019,10
2481,MMM,170.0899963,2019-11,2019,11
2501,MMM,168.2700043,2019-12,2019,12
2522,MMM,180,2020-01,2020,1
2543,MMM,156.5899963,2020-02,2020,2
2562,MMM,153.0200043,2020-03,2020,3
2584,MMM,133.1399994,2020-04,2020,4
2605,MMM,148.6000061,2020-05,2020,5
2625,MMM,155.5800018,2020-06,2020,6
2647,MMM,155.4299927,2020-07,2020,7
2669,MMM,150.4100037,2020-08,2020,8
2690,MMM,164.8000031,2020-09,2020,9
2711,MMM,158.7899933,2020-10,2020,10
2733,MMM,162.9400024,2020-11,2020,11
2753,MMM,170.5200043,2020-12,2020,12
2775,MMM,171.8699951,2021-01,2021,1
2794,MMM,174.6999969,2021-02,2021,2
2813,MMM,176.4100037,2021-03,2021,3
2836,MMM,192.6999969,2021-04,2021,4
2857,MMM,198.6100006,2021-05,2021,5
2877,MMM,203.1999969,2021-06,2021,6
2899,MMM,199.0899963,2021-07,2021,7
2920,MMM,197.5200043,2021-08,2021,8
2942,MMM,193.4400024,2021-09,2021,9
2963,MMM,176.6799927,2021-10,2021,10
2984,MMM,179.5800018,2021-11,2021,11
3005,MMM,170.7299957,2021-12,2021,12
3027,MMM,177.7400055,2022-01,2022,1
3047,MMM,167.4299927,2022-02,2022,2
3066,MMM,144.75,2022-03,2022,3
3089,MMM,149.6900024,2022-04,2022,4
3109,MMM,145.9100037,2022-05,2022,5
3130,MMM,146.4199982,2022-06,2022,6
3151,MMM,128.4900055,2022-07,2022,7
3171,MMM,143.3600006,2022-08,2022,8
3178,AOS,7.434999943,2010-01,2010,1
3197,AOS,7.083333015,2010-02,2010,2
3216,AOS,7.650000095,2010-03,2010,3
3239,AOS,8.753333092,2010-04,2010,4
3260,AOS,8.779999733,2010-05,2010,5
3280,AOS,7.543333054,2010-06,2010,6
3302,AOS,8.02833271,2010-07,2010,7
3323,AOS,9.273332596,2010-08,2010,8
3345,AOS,8.975000381,2010-09,2010,9
3366,AOS,9.623332977,2010-10,2010,10
3387,AOS,9.326666832,2010-11,2010,11
3408,AOS,9.9375,2010-12,2010,12
3430,AOS,9.534999847,2011-01,2011,1
3450,AOS,10.82999992,2011-02,2011,2
3469,AOS,9.930000305,2011-03,2011,3
3492,AOS,11.04249954,2011-04,2011,4
3512,AOS,10.90750027,2011-05,2011,5
3533,AOS,10.00500011,2011-06,2011,6
3555,AOS,10.88249969,2011-07,2011,7
3575,AOS,10.40250015,2011-08,2011,8
3598,AOS,9.62250042,2011-09,2011,9
3619,AOS,7.607500076,2011-10,2011,10
3640,AOS,8.862500191,2011-11,2011,11
3661,AOS,9.572500229,2011-12,2011,12
3682,AOS,10.31750011,2012-01,2012,1
3702,AOS,10.91749954,2012-02,2012,2
3722,AOS,11.39999962,2012-03,2012,3
3744,AOS,11.10249996,2012-04,2012,4
3764,AOS,11.91250038,2012-05,2012,5
3786,AOS,11.15499973,2012-06,2012,6
3807,AOS,12.26749992,2012-07,2012,7
3828,AOS,12.16749954,2012-08,2012,8
3851,AOS,13.76500034,2012-09,2012,9
3870,AOS,14.3125,2012-10,2012,10
3892,AOS,15.43249989,2012-11,2012,11
3913,AOS,15.76500034,2012-12,2012,12
3933,AOS,16.15250015,2013-01,2013,1
3954,AOS,17.48749924,2013-02,2013,2
3973,AOS,17.91749954,2013-03,2013,3
3993,AOS,17.83749962,2013-04,2013,4
4015,AOS,18.34499931,2013-05,2013,5
4037,AOS,19.52000046,2013-06,2013,6
4057,AOS,18.68499947,2013-07,2013,7
4079,AOS,21.03499985,2013-08,2013,8
4101,AOS,21.29000092,2013-09,2013,9
4121,AOS,22.77499962,2013-10,2013,10
4144,AOS,26.37000084,2013-11,2013,11
4164,AOS,26.92000008,2013-12,2013,12
4185,AOS,26.65999985,2014-01,2014,1
4206,AOS,22.79000092,2014-02,2014,2
4225,AOS,24.43000031,2014-03,2014,3
4246,AOS,23.18499947,2014-04,2014,4
4267,AOS,23.60499954,2014-05,2014,5
4288,AOS,24.88999939,2014-06,2014,6
4309,AOS,24.87999916,2014-07,2014,7
4331,AOS,23.53000069,2014-08,2014,8
4352,AOS,24.70000076,2014-09,2014,9
4373,AOS,23.37000084,2014-10,2014,10
4396,AOS,26.63999939,2014-11,2014,11
4415,AOS,26.88999939,2014-12,2014,12
4437,AOS,28.00499916,2015-01,2015,1
4457,AOS,29.89999962,2015-02,2015,2
4476,AOS,32.22499847,2015-03,2015,3
4498,AOS,32.61999893,2015-04,2015,4
